commentID,siteID,time,fullname,comment
1,3,2013-01-16 09-04-00 AM,Joe Smith,"pttrns has just about every UI design you could imagine, all within easy acess."
2,1,2013-01-16 12-10-00 PM,Enrique Badillo,"Visiting this site every week is like Christmas, new and high quality surprises."
3,2,2013-01-16 12-11-00 PM,Veronica Mars,I hope HTML5 UP expands because I really like the free content.
4,1,2014-11-06 02-24-00 PM,Jennifer Li,Abduzeedo has a really great content and lots of inspiration. I also use the site to browse tutorials on how to do website mockups and make the websites.
5,1,2014-11-18 09-52-00 AM,Joe Smith,Abudzeedo finds the best website content. I highly recommend people check it out.
6,6,2014-11-18 09-55-00 AM,Jennifer Li,ThemeForest has great themes. I use them for personal projects then tweak them to suit my needs.
7,2,2014-11-18 09-57-00 AM,Ben Kvisler,HTML5 UP has great free templates.
8,3,2014-11-18 09-58-00 AM,Ben Kvisler,"If you're looking to make better UI for your next mobile app, look no further than pttrns."
9,4,2014-11-18 10-38-00 AM,Joe Smith,Creative Market has free content every week. It's great to use for personal projects.
10,4,2014-11-18 01-38-00 PM,Jack Reacher,Creative Market is a great community of designers that post high quality website templates for sale
11,5,2014-11-20 10-29-00 AM,Enrique Badillo,"Pinterest has so much content, it's great to get some inspiration for anything web or mobile design."
12,5,2014-11-25 06-17-00 PM,Irene Santiago,I like that I can use Pinterest to collect all the inspirational things I see on the web about design.
